year,value,country_iso3,indicator,name,abs_change,growth_rate_pct
2024,13.6195685039144,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.0924,-0.67
2023,13.7119419860139,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.7058,-4.9
2022,14.4177148825165,USA,EN.GHG.CO2.PC.CE.AR5,США,0.1016,0.71
2021,14.3161154347115,USA,EN.GHG.CO2.PC.CE.AR5,США,0.8445,6.27
2020,13.4715821678248,USA,EN.GHG.CO2.PC.CE.AR5,США,-1.5724,-10.45
2019,15.0439662080505,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.5357,-3.44
2018,15.5796456645972,USA,EN.GHG.CO2.PC.CE.AR5,США,0.3949,2.6
2017,15.1847127213968,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.3198,-2.06
2016,15.5045482189269,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.4456,-2.79
2015,15.9501022949136,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.4748,-2.89
2014,16.4248953102317,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.0711,-0.43
2013,16.495975221911,USA,EN.GHG.CO2.PC.CE.AR5,США,0.3106,1.92
2012,16.1854221004814,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.835,-4.91
2011,17.0203888981196,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.8267,-4.63
2010,17.847084306938,USA,EN.GHG.CO2.PC.CE.AR5,США,0.658,3.83
2009,17.1890632001903,USA,EN.GHG.CO2.PC.CE.AR5,США,-1.5198,-8.12
2008,18.7089026291301,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.7868,-4.04
2007,19.4956606869752,USA,EN.GHG.CO2.PC.CE.AR5,США,0.0908,0.47
2006,19.4048177077015,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.5202,-2.61
2005,19.9249914215479,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.1566,-0.78
2004,20.0815597947275,USA,EN.GHG.CO2.PC.CE.AR5,США,0.1134,0.57
2003,19.9681657791826,USA,EN.GHG.CO2.PC.CE.AR5,США,0.0578,0.29
2002,19.9103793387111,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.7151,-3.47
2001,20.6255077855762,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.3864,-1.84
2000,21.0118753202743,USA,EN.GHG.CO2.PC.CE.AR5,США,0.363,1.76
1999,20.6489080418578,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.1769,-0.85
1998,20.8257864667542,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.0778,-0.37
1997,20.9036173654078,USA,EN.GHG.CO2.PC.CE.AR5,США,0.7604,3.77
1996,20.1432633985909,USA,EN.GHG.CO2.PC.CE.AR5,США,0.3464,1.75
1995,19.7968469043631,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.0336,-0.17
1994,19.830406345249,USA,EN.GHG.CO2.PC.CE.AR5,США,0.072,0.36
1993,19.7583747244334,USA,EN.GHG.CO2.PC.CE.AR5,США,0.2,1.02
1992,19.5583395058359,USA,EN.GHG.CO2.PC.CE.AR5,США,0.035,0.18
1991,19.5233266529898,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.4412,-2.21
1990,19.9645212981176,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.6127,-2.98
1989,20.5771950295561,USA,EN.GHG.CO2.PC.CE.AR5,США,0.0406,0.2
1988,20.5366316426652,USA,EN.GHG.CO2.PC.CE.AR5,США,0.7227,3.65
1987,19.813916025903,USA,EN.GHG.CO2.PC.CE.AR5,США,0.4774,2.47
1986,19.3365189290935,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.3372,-1.71
1985,19.6737336292261,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.0639,-0.32
1984,19.737634686738,USA,EN.GHG.CO2.PC.CE.AR5,США,0.7086,3.72
1983,19.0290065528333,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.2438,-1.26
1982,19.2728037157262,USA,EN.GHG.CO2.PC.CE.AR5,США,-1.2488,-6.09
1981,20.5215783601928,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.5157,-2.45
1980,21.0372639454285,USA,EN.GHG.CO2.PC.CE.AR5,США,-1.2092,-5.44
1979,22.2464819710737,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.0814,-0.36
1978,22.327833411955,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.2839,-1.26
1977,22.6117703948892,USA,EN.GHG.CO2.PC.CE.AR5,США,0.5245,2.37
1976,22.0873057077992,USA,EN.GHG.CO2.PC.CE.AR5,США,1.18,5.64
1975,20.9073036907391,USA,EN.GHG.CO2.PC.CE.AR5,США,-1.1987,-5.42
1974,22.1060517923443,USA,EN.GHG.CO2.PC.CE.AR5,США,-1.0011,-4.33
1973,23.107187519171,USA,EN.GHG.CO2.PC.CE.AR5,США,0.6649,2.96
1972,22.4422661699127,USA,EN.GHG.CO2.PC.CE.AR5,США,0.9665,4.5
1971,21.4757368981176,USA,EN.GHG.CO2.PC.CE.AR5,США,-0.9323,-4.16
1970,22.4080038234204,USA,EN.GHG.CO2.PC.CE.AR5,США,,
