year,value,country_iso3,indicator
2024,13.6195685039144,USA,EN.GHG.CO2.PC.CE.AR5
2023,13.7119419860139,USA,EN.GHG.CO2.PC.CE.AR5
2022,14.4177148825165,USA,EN.GHG.CO2.PC.CE.AR5
2021,14.3161154347115,USA,EN.GHG.CO2.PC.CE.AR5
2020,13.4715821678248,USA,EN.GHG.CO2.PC.CE.AR5
2019,15.0439662080505,USA,EN.GHG.CO2.PC.CE.AR5
2018,15.5796456645972,USA,EN.GHG.CO2.PC.CE.AR5
2017,15.1847127213968,USA,EN.GHG.CO2.PC.CE.AR5
2016,15.5045482189269,USA,EN.GHG.CO2.PC.CE.AR5
2015,15.9501022949136,USA,EN.GHG.CO2.PC.CE.AR5
2014,16.4248953102317,USA,EN.GHG.CO2.PC.CE.AR5
2013,16.495975221911,USA,EN.GHG.CO2.PC.CE.AR5
2012,16.1854221004814,USA,EN.GHG.CO2.PC.CE.AR5
2011,17.0203888981196,USA,EN.GHG.CO2.PC.CE.AR5
2010,17.847084306938,USA,EN.GHG.CO2.PC.CE.AR5
2009,17.1890632001903,USA,EN.GHG.CO2.PC.CE.AR5
2008,18.7089026291301,USA,EN.GHG.CO2.PC.CE.AR5
2007,19.4956606869752,USA,EN.GHG.CO2.PC.CE.AR5
2006,19.4048177077015,USA,EN.GHG.CO2.PC.CE.AR5
2005,19.9249914215479,USA,EN.GHG.CO2.PC.CE.AR5
2004,20.0815597947275,USA,EN.GHG.CO2.PC.CE.AR5
2003,19.9681657791826,USA,EN.GHG.CO2.PC.CE.AR5
2002,19.9103793387111,USA,EN.GHG.CO2.PC.CE.AR5
2001,20.6255077855762,USA,EN.GHG.CO2.PC.CE.AR5
2000,21.0118753202743,USA,EN.GHG.CO2.PC.CE.AR5
1999,20.6489080418578,USA,EN.GHG.CO2.PC.CE.AR5
1998,20.8257864667542,USA,EN.GHG.CO2.PC.CE.AR5
1997,20.9036173654078,USA,EN.GHG.CO2.PC.CE.AR5
1996,20.1432633985909,USA,EN.GHG.CO2.PC.CE.AR5
1995,19.7968469043631,USA,EN.GHG.CO2.PC.CE.AR5
1994,19.830406345249,USA,EN.GHG.CO2.PC.CE.AR5
1993,19.7583747244334,USA,EN.GHG.CO2.PC.CE.AR5
1992,19.5583395058359,USA,EN.GHG.CO2.PC.CE.AR5
1991,19.5233266529898,USA,EN.GHG.CO2.PC.CE.AR5
1990,19.9645212981176,USA,EN.GHG.CO2.PC.CE.AR5
1989,20.5771950295561,USA,EN.GHG.CO2.PC.CE.AR5
1988,20.5366316426652,USA,EN.GHG.CO2.PC.CE.AR5
1987,19.813916025903,USA,EN.GHG.CO2.PC.CE.AR5
1986,19.3365189290935,USA,EN.GHG.CO2.PC.CE.AR5
1985,19.6737336292261,USA,EN.GHG.CO2.PC.CE.AR5
1984,19.737634686738,USA,EN.GHG.CO2.PC.CE.AR5
1983,19.0290065528333,USA,EN.GHG.CO2.PC.CE.AR5
1982,19.2728037157262,USA,EN.GHG.CO2.PC.CE.AR5
1981,20.5215783601928,USA,EN.GHG.CO2.PC.CE.AR5
1980,21.0372639454285,USA,EN.GHG.CO2.PC.CE.AR5
1979,22.2464819710737,USA,EN.GHG.CO2.PC.CE.AR5
1978,22.327833411955,USA,EN.GHG.CO2.PC.CE.AR5
1977,22.6117703948892,USA,EN.GHG.CO2.PC.CE.AR5
1976,22.0873057077992,USA,EN.GHG.CO2.PC.CE.AR5
1975,20.9073036907391,USA,EN.GHG.CO2.PC.CE.AR5
1974,22.1060517923443,USA,EN.GHG.CO2.PC.CE.AR5
1973,23.107187519171,USA,EN.GHG.CO2.PC.CE.AR5
1972,22.4422661699127,USA,EN.GHG.CO2.PC.CE.AR5
1971,21.4757368981176,USA,EN.GHG.CO2.PC.CE.AR5
1970,22.4080038234204,USA,EN.GHG.CO2.PC.CE.AR5
